,Title,DateOfRecord,GroupID,Genre,Country,Duration,TopOfTheYear
0,Ruebplpn,1998-03-21,1,Hard rock,Npynxw,62,78
1,Itrav,1976-08-30,0,Metal,Nryyuptg,54,81
2,Cbgkglsr,1984-01-27,4,Electronic,Dcnuou,93,52
3,Xqdnfjy,1987-03-16,2,Rock,Pyzb,87,88
4,Daze,1990-10-29,4,Electronic,Fhudsr,85,52
5,Fswb,1998-01-17,3,Hard rock,Mdrytqmc,55,77
6,Rumaa,1978-11-09,2,Classic,Ozyw,58,46
7,Sufsvx,1979-07-14,2,Classic,Kcpe,80,85
8,Dviqfyc,1974-03-26,2,Electronic,Qfcmzqy,70,80
9,Ixkvq,1971-06-02,4,Rock,Zrnaoqw,37,92
10,Twiho,1969-10-04,0,Rock,Cmwlocj,96,41
11,Offoh,1994-04-05,3,Metal,Fiyfz,95,30
12,Fjrkobw,1968-02-03,0,Metal,Roiu,46,47
13,Pbfpmysc,1968-01-23,2,Electronic,Meyjogv,90,86
14,Hnuqnyr,1974-01-17,1,Classic,Aopvuyxi,33,65
15,Qnlgj,1987-09-04,3,Metal,Hindip,90,45
16,Pptotk,1987-07-01,0,Electronic,Rzvcoqqe,78,92
17,Splqqtp,1977-05-23,4,Rock,Wdwb,100,45
18,Dzmhlhvy,1997-06-17,3,Classic,Ncdjx,69,79
19,Mbmzyto,1997-07-03,2,Classic,Xznjm,85,58
20,Kcpb,1972-11-01,4,Electronic,Xlhb,36,97
21,Ddvdlhq,1973-12-30,4,Metal,Yatx,48,23
22,Oiubpf,1976-09-30,1,Hard rock,Vyoyvvc,64,24
23,Rmvh,1974-03-23,0,Classic,Vxzuelg,77,14
24,Tzktaydu,1976-06-06,0,Classic,Zyqziqkl,69,74
25,Hzjdb,1979-01-17,2,Classic,Tdhbya,89,53
26,Ykdg,1999-02-17,1,Metal,Njkjqxd,42,60
27,Nrnjf,1983-10-10,1,Metal,Phhasrx,51,82
28,Rkcwbb,1988-02-27,2,Classic,Oqmlz,82,12
29,Vbocaewx,1978-07-10,4,Electronic,Sars,83,13
30,Puwnctd,1991-08-05,0,Classic,Nlicjzj,60,46
31,Aoqrnppy,1971-12-17,3,Rock,Dsczorh,69,67
32,Yyrlqel,1968-03-08,3,Rock,Znccvuyj,98,91
33,Gilr,1969-01-14,1,Metal,Svgpnom,55,15
34,Ybvjqywt,1989-04-13,4,Rock,Xpkj,43,96
35,Tlwtvs,1987-11-16,1,Metal,Tfkssn,34,14
36,Kkdmsnf,1982-12-07,3,Metal,Defezuvm,86,35
37,Wufdvd,1991-02-02,2,Electronic,Aepbpajw,54,36
38,Yktamsal,1997-07-17,1,Electronic,Cvehppj,98,15
39,Nbjtf,1986-10-14,1,Metal,Taqth,78,12
40,Zmlpg,1996-07-11,0,Hard rock,Afnxc,94,25
41,Cpyqclp,1969-03-01,2,Electronic,Eocvxuk,25,12
42,Oyylff,1975-09-15,2,Electronic,Etfg,69,40
43,Cyljb,1984-09-03,3,Hard rock,Uerg,90,18
44,Ynidp,1983-10-01,0,Classic,Tifjhje,92,25
45,Ttrzt,1985-01-19,4,Rock,Uftsn,48,83
46,Torrw,1995-02-20,0,Electronic,Exrnb,72,62
47,Mutjwqtm,1988-01-23,3,Metal,Zrnzov,45,86
48,Ewtr,1973-09-05,3,Hard rock,Scpbb,47,41
49,Amav,1992-09-05,2,Rock,Uduub,89,42
50,Nrucazx,1969-03-05,1,Metal,Qvakhsmv,29,100
51,Mdycbr,1980-03-11,4,Classic,Zgok,27,33
52,Csgxco,1990-05-29,4,Rock,Vshw,73,37
53,Pzqgg,1976-05-16,2,Hard rock,Mpvzhau,87,94
54,Gybme,1992-02-03,1,Hard rock,Ydfcsav,66,97
55,Lbgsgsi,1968-02-02,2,Classic,Qjrop,88,39
56,Dfyezg,1970-06-14,0,Classic,Czkqe,76,74
57,Naqzrt,1986-06-24,1,Rock,Fgayaz,39,22
58,Tqejenik,1980-04-18,0,Electronic,Udrdoeod,60,59
59,Fxitv,1995-05-20,2,Electronic,Gefeh,44,82
60,Mrpq,1997-12-19,2,Electronic,Fhms,86,33
61,Ahbqm,1995-10-29,2,Classic,Mchycja,31,16
62,Hdtxhpu,1977-05-15,0,Metal,Sfmyk,55,46
63,Vbcqgp,1992-01-13,2,Metal,Qrhqcex,28,17
64,Whzq,1998-05-15,2,Electronic,Rfkqmq,33,26
65,Kulmfqkr,1995-10-02,2,Rock,Liukqpo,89,2
66,Iwmx,1969-10-21,2,Hard rock,Zjrsmomt,61,7
67,Ebniwblb,1990-12-10,0,Metal,Rxfoqr,79,27
68,Gwop,1991-11-12,3,Electronic,Wxfjg,65,77
69,Wrcccc,1974-08-02,3,Metal,Rpjrgqgj,66,27
70,Gsrmx,1996-05-11,2,Metal,Nrdedzen,95,47
71,Nzyqmf,1994-07-10,4,Electronic,Pfhl,32,62
72,Abnlom,1972-04-06,1,Metal,Vzmvvja,31,10
73,Ffoyovq,1981-11-11,1,Metal,Nxkqgu,29,26
74,Afgzba,1986-09-28,0,Hard rock,Luubxqo,63,85
75,Augf,1992-08-01,0,Rock,Cpmqn,37,47
76,Ovfxh,1996-05-04,0,Electronic,Qorxwhg,61,70
77,Ejtrafx,1971-07-25,0,Classic,Uqjwo,82,36
78,Rayfn,1975-03-29,0,Classic,Ddmykk,84,16
79,Svbprr,1991-10-29,1,Rock,Lcye,70,97
80,Kicns,1981-12-23,2,Rock,Ggnfjel,32,2
81,Krqy,1997-06-28,0,Hard rock,Oddgn,55,34
82,Rdyp,1975-06-20,1,Rock,Nuxk,74,3
83,Fbyzmidk,1978-10-25,3,Hard rock,Xfevjo,37,86
84,Uhnumngx,1987-11-15,2,Rock,Vpws,30,12
85,Urtrywlv,1999-05-07,4,Classic,Ftsrs,99,86
86,Kvadtwm,1999-09-25,0,Rock,Kzwwzd,55,67
87,Tggiv,1970-06-28,1,Rock,Jkkfz,71,68
88,Gjwefqyn,1993-10-02,1,Classic,Sayk,93,16
89,Afbrtd,1983-06-29,3,Hard rock,Wzosknw,86,75
90,Ozqdzbie,1979-06-29,1,Rock,Bifeoaw,85,70
91,Dankv,1996-07-10,4,Classic,Ovrqi,38,75
92,Xlvqy,1976-04-25,0,Electronic,Wdmgyw,73,23
93,Dddvvfe,1982-02-04,3,Electronic,Wchmvx,81,34
94,Icahmbz,1981-12-04,4,Metal,Azpgtym,31,8
95,Uwqocpj,1986-07-05,3,Electronic,Uqja,96,32
96,Fbjwyrkg,1980-05-05,1,Rock,Ojkgtpm,55,43
97,Svfgrdfn,1995-09-26,0,Metal,Wwdx,83,100
98,Wurnoxnu,1981-02-20,2,Rock,Fgel,56,65
99,Mssj,1989-02-11,4,Metal,Hhbsuu,85,98
